0,1,2,3,4
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0666666666667,0.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.5,0.0,1
0.0666666666667,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.133333333333,0.0,0.0,1.0,0
0.0,0.0,0.0869565217391,1.0,0
0.0,0.0,0.666666666667,0.0,0
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,1.0,1
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0625,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0384615384615,0.0,2
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
2.33333333333,0.0,1.33333333333,0.0,0
0.0,0.0,0.0,0.0,0
0.0769230769231,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.571428571429,0.0,0
0.285714285714,0.0,0.142857142857,0.0,0
0.0,0.0,0.0,0.0,1
0.0434782608696,0.0,0.0,0.0,1
0.0909090909091,0.0,0.0909090909091,1.0,1
0.0,0.0,0.1,0.0,2
0.0,0.0,0.0,0.0,0
0.05,1.0,0.05,0.0,2
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.125,1.0,0.0,1.0,0
0.0833333333333,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.166666666667,0.0,0
0.0,0.0,0.0,0.0,1
0.0555555555556,0.0,0.0555555555556,0.0,3
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0714285714286,0.0,2
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.125,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,1.0,0.0555555555556,0.0,0
0.0,1.0,0.0,0.0,1
0.0,0.0,0.0416666666667,1.0,1
0.0,0.0,0.0714285714286,0.0,1
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0769230769231,0.0,0.0,1.0,2
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0666666666667,1.0,0
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.6,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.1,0.0,0
0.0,0.0,0.0,1.0,1
0.0714285714286,0.0,0.0,1.0,0
0.125,0.0,0.0,0.0,1
0.0,0.0,0.3,1.0,1
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,1.0,0
0.0666666666667,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,6
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0769230769231,0.0,0
0.0,0.0,0.0,0.0,0
0.1,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.05,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,1.0,0
0.235294117647,0.0,0.117647058824,1.0,0
0.0952380952381,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.25,0.0,0
0.0,0.0,0.0555555555556,0.0,0
0.0555555555556,1.0,0.0555555555556,0.0,1
0.0,0.0,0.111111111111,0.0,0
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0526315789474,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0714285714286,1.0,1
0.0,0.0,0.368421052632,0.0,0
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0833333333333,0.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.142857142857,0.0,0
0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.222222222222,0.0,1
0.166666666667,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.125,0.0,0.0,0.0,0
0.0909090909091,0.0,0.0,1.0,2
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.25,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.2,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0769230769231,1.0,1
0.0588235294118,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.166666666667,0.0,0.166666666667,0.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.111111111111,0.0,0.111111111111,1.0,0
0.0,1.0,0.0,0.0,0
0.25,0.0,0.0,0.0,2
0.0714285714286,0.0,0.0714285714286,1.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.142857142857,0.0,0.142857142857,0.0,1
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0588235294118,1.0,0
0.0,0.0,0.0,1.0,0
0.142857142857,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0625,1.0,0
1.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.111111111111,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.111111111111,1.0,1
0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.166666666667,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1
0.0909090909091,0.0,0.272727272727,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.047619047619,0.0,0
0.0,1.0,0.0,1.0,0
0.25,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,1.0,1
0.111111111111,0.0,0.0,0.0,1
0.0,0.0,0.125,0.0,0
0.0,0.0,0.555555555556,0.0,0
0.0,0.0,0.0,0.0,0
4.0,0.0,0.0,0.0,0
0.0625,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.25,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0909090909091,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0833333333333,0.0,0
0.0,0.0,0.047619047619,1.0,0
0.0,0.0,0.1,0.0,0
0.0,0.0,0.5,0.0,0
0.0,0.0,0.2,0.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.2,0.0,0
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.125,1.0,0
0.0,1.0,0.0,0.0,0
0.0769230769231,0.0,0.0769230769231,0.0,0
0.111111111111,0.0,0.0555555555556,0.0,0
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.166666666667,1.0,0
0.0,1.0,0.0714285714286,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.166666666667,0.0,0
0.0,0.0,0.0909090909091,1.0,1
0.0,0.0,0.0909090909091,1.0,1
0.0,0.0,0.25,0.0,0
0.25,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0833333333333,1.0,2
0.0,0.0,0.0,0.0,0
0.0666666666667,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.25,0.0,0
0.0625,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.2,0.0,0.0,1.0,0
0.0,0.0,0.0909090909091,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0714285714286,0.0,0.0,1.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.142857142857,0.0,0
0.0,1.0,0.0909090909091,0.0,0
0.05,0.0,0.05,1.0,0
0.0,0.0,0.166666666667,0.0,3
0.0,0.0,0.0,1.0,0
0.0,0.0,0.05,0.0,0
0.5,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0555555555556,0.0,6
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.333333333333,0.0,0
0.0,0.0,0.0,0.0,0
0.214285714286,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,1.0,2
0.0,1.0,0.0,0.0,0
0.0555555555556,0.0,0.111111111111,0.0,2
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,3
0.111111111111,0.0,0.0,0.0,0
0.0,0.0,0.04,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0833333333333,0.0,1
0.0,0.0,0.333333333333,0.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0
0.125,0.0,0.125,0.0,0
0.0,0.0,0.0909090909091,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.222222222222,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0833333333333,1.0,0
0.0,0.0,0.222222222222,0.0,0
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.2,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.1,0.0,0.0,1.0,2
0.0,0.0,0.133333333333,1.0,1
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0
3.30769230769,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.166666666667,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.285714285714,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.25,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.153846153846,0.0,1
0.25,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.1,0.0,0.0,0.0,0
0.181818181818,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0909090909091,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.166666666667,0.0,0
0.0,0.0,0.105263157895,0.0,2
0.0,0.0,0.0,1.0,1
0.157894736842,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1
0.4,0.0,0.4,0.0,0
0.0714285714286,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.1,0.0,0.0,0.0,0
12.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.125,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.166666666667,0.0,0.0,0.0,1
0.0,0.0,0.142857142857,1.0,0
0.0,0.0,0.0,0.0,1
0.111111111111,0.0,0.0555555555556,0.0,3
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0666666666667,1.0,0.0,0.0,1
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,1
0.0,0.0,0.333333333333,1.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.142857142857,0.0,0.0,0.0,0
0.0,0.0,0.222222222222,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1
0.0,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,1.0,1
0.0,0.0,0.0909090909091,0.0,1
0.0714285714286,0.0,0.142857142857,0.0,2
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.875,0.0,0.0,0.0,0
0.0,0.0,0.142857142857,0.0,0
0.0909090909091,1.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.2,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0666666666667,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.2,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.222222222222,1.0,1
0.2,0.0,0.0,0.0,0
0.111111111111,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.117647058824,0.0,0.0588235294118,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.5,0.0,0.25,0.0,0
0.0,0.0,0.285714285714,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0714285714286,0.0,7
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.133333333333,0.0,1
0.0526315789474,1.0,0.0526315789474,0.0,0
0.0,0.0,0.142857142857,0.0,0
0.0,0.0,0.166666666667,0.0,0
0.0,0.0,0.125,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,1
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,2
0.0909090909091,0.0,0.0909090909091,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0952380952381,0.0,0
0.0714285714286,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,3
0.423076923077,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,3
0.0,0.0,0.222222222222,1.0,0
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0625,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.25,0.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.2,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0
0.0769230769231,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0555555555556,0.0,0.0,0.0,2
0.0526315789474,0.0,0.157894736842,0.0,0
0.0,0.0,0.1,1.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0434782608696,1.0,0
0.0,0.0,0.333333333333,0.0,1
0.0,0.0,0.0,0.0,0
0.0416666666667,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.75,0.0,1
0.0,1.0,0.0,0.0,1
0.0,0.0,0.0,1.0,1
0.0,0.0,0.25,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.111111111111,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.666666666667,0.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.04,0.0,0
0.0,0.0,0.2,0.0,0
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0416666666667,1.0,1
0.0,1.0,0.0,0.0,0
0.0833333333333,0.0,0.0833333333333,0.0,0
0.0555555555556,0.0,0.0,1.0,2
0.0,0.0,0.0,0.0,0
0.0,0.0,0.214285714286,0.0,0
0.166666666667,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
0.363636363636,0.0,0.0909090909091,1.0,1
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0357142857143,0.0,0.0,0.0,3
0.0,1.0,0.0,1.0,0
0.117647058824,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,1.0,0
0.0,1.0,0.0,0.0,1
0.05,0.0,0.05,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0769230769231,0.0,0
0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0
0.0,1.0,0.0454545454545,1.0,3
0.0588235294118,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0833333333333,1.0,2
0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,1.0,0
0.0,1.0,0.0,0.0,1
0.0,1.0,0.0,0.0,0
0.0,0.0,0.0769230769231,0.0,1
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1
